Product_ID,Product_Name,Brand_ID,Category_ID,Model_Year,List_Price
1,Trek 820 - 2016,9,6,2016,380
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,750
3,Surly Wednesday Frameset - 2016,8,6,2016,1000
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2900
5,Heller Shagamaw Frame - 2016,3,6,2016,1321
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,470
7,Trek Slash 8 27.5 - 2016,9,6,2016,4000
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1800
9,Trek Conduit+ - 2016,9,5,2016,3000
10,Surly Straggler - 2016,8,4,2016,1549
11,Surly Straggler 650b - 2016,8,4,2016,1681
12,Electra Townie Original 21D - 2016,1,3,2016,550
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,270
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,270
15,Electra Moto 1 - 2016,1,3,2016,530
16,Electra Townie Original 7D EQ - 2016,1,3,2016,600
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449
20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,600
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,270
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,270
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,300
24,Electra Townie Original 21D - 2016,1,2,2016,550
25,Electra Townie Original 7D - 2015/2016,1,2,2016,500
26,Electra Townie Original 7D EQ - 2016,1,2,2016,600
27,Surly Big Dummy Frameset - 2017,8,6,2017,1000
28,Surly Karate Monkey 27.5+ Frameset - 2017,8,6,2017,2500
29,Trek X-Caliber 8 - 2017,9,6,2017,1000
30,Surly Ice Cream Truck Frameset - 2017,8,6,2017,1000
31,Surly Wednesday - 2017,8,6,2017,1633
32,Trek Farley Alloy Frameset - 2017,9,6,2017,470
33,Surly Wednesday Frameset - 2017,8,6,2017,470
34,Trek Session DH 27.5 Carbon Frameset - 2017,9,6,2017,470
35,Sun Bicycles Spider 3i - 2017,7,6,2017,833
36,Surly Troll Frameset - 2017,8,6,2017,833
37,Haro Flightline One ST - 2017,2,6,2017,380
38,Haro Flightline Two 26 Plus - 2017,2,6,2017,550
39,Trek Stache 5 - 2017,9,6,2017,1500
40,Trek Fuel EX 9.8 29 - 2017,9,6,2017,5000
41,Haro Shift R3 - 2017,2,6,2017,1470
42,Trek Fuel EX 5 27.5 Plus - 2017,9,6,2017,2300
43,Trek Fuel EX 9.8 27.5 Plus - 2017,9,6,2017,5300
44,Haro SR 1.1 - 2017,2,6,2017,540
45,Haro SR 1.2 - 2017,2,6,2017,870
46,Haro SR 1.3 - 2017,2,6,2017,1410
47,Trek Remedy 9.8 - 2017,9,6,2017,5300
48,Trek Emonda S 4 - 2017,9,7,2017,1500
49,Trek Domane SL 6 - 2017,9,7,2017,3500
50,Trek Silque SLR 7 Women's - 2017,9,7,2017,6000
51,Trek Silque SLR 8 Women's - 2017,9,7,2017,6500
52,Surly Steamroller - 2017,8,7,2017,876
53,Surly Ogre Frameset - 2017,8,7,2017,750
54,Trek Domane SL Disc Frameset - 2017,9,7,2017,3200
55,Trek Domane S 6 - 2017,9,7,2017,2700
56,Trek Domane SLR 6 Disc - 2017,9,7,2017,5500
57,Trek Emonda S 5 - 2017,9,7,2017,2000
58,Trek Madone 9.2 - 2017,9,7,2017,5000
59,Trek Domane S 5 Disc - 2017,9,7,2017,2600
60,Sun Bicycles ElectroLite - 2017,7,5,2017,1560
61,Trek Powerfly 8 FS Plus - 2017,9,5,2017,5000
62,Trek Boone 7 - 2017,9,4,2017,3500
63,Trek Boone Race Shop Limited - 2017,9,4,2017,3500
64,Electra Townie Original 7D - 2017,1,3,2017,490
65,Sun Bicycles Lil Bolt Type-R - 2017,7,3,2017,347
66,Sun Bicycles Revolutions 24 - 2017,7,3,2017,251
67,Sun Bicycles Revolutions 24 - Girl's - 2017,7,3,2017,251
68,Sun Bicycles Cruz 3 - 2017,7,3,2017,450
69,Sun Bicycles Cruz 7 - 2017,7,3,2017,417
70,Electra Amsterdam Original 3i - 2015/2017,1,3,2017,660
71,Sun Bicycles Atlas X-Type - 2017,7,3,2017,417
72,Sun Bicycles Biscayne Tandem 7 - 2017,7,3,2017,620
73,Sun Bicycles Brickell Tandem 7 - 2017,7,3,2017,750
74,Electra Cruiser Lux 1 - 2017,1,3,2017,440
75,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,1,3,2017,600
76,"Electra Girl's Hawaii 1 16"" - 2017",1,3,2017,300
77,Electra Glam Punk 3i Ladies' - 2017,1,3,2017,800
78,Sun Bicycles Biscayne Tandem CB - 2017,7,3,2017,648
79,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,7,3,2017,403
80,Sun Bicycles Brickell Tandem CB - 2017,7,3,2017,762
81,Electra Amsterdam Fashion 7i Ladies' - 2017,1,3,2017,1100
82,Electra Amsterdam Original 3i Ladies' - 2017,1,3,2017,660
